,Na,NH4,Rb,K,Mg,Ca,Sample
EFFLUX-1,75.1079,2.7157,,4.2024,15.2816,3.3282,1
EFFLUX-2,1654.8661,19.1646,,114.6828,161.3141,53.4064,2
EFFLUX-3,2115.2742,26.1554,,154.5419,188.6921,40.7007,3
EFFLUX-4,,34.5556,1.0528,235.2673,250.4332,60.5859,4
EFFLUX-5,8.751,0.9374,,0.6494,1.0316,0.3431,5
EFFLUX-6,677.2221,5.9983,,47.3238,76.9484,19.9083,6
EFFLUX-7,1177.6549,10.5704,1.0574,80.6164,94.1079,33.3688,7
EFFLUX-8,2321.9994,20.541,1.3278,151.2016,167.0316,69.9918,8
EFFLUX-9,65.8676,0.9925,,3.5054,14.0922,3.1553,9
EFFLUX-10,1357.8479,10.96,,107.8374,121.2434,40.761,10
EFFLUX-11,,28.0859,1.0463,256.4873,466.4253,76.9327,11
EFFLUX-12,,33.3264,0.9814,293.6606,313.6658,97.4926,12
EFFLUX-13,8.6551,0.5441,,0.8011,1.2699,0.2403,13
EFFLUX-14,97.6448,1.1953,,8.3455,11.4235,2.2634,14
EFFLUX-15,1159.232,11.4874,1.037,75.6737,86.2851,34.7312,15
EFFLUX-16,1475.5633,14.3336,,100.4498,124.0591,38.0452,16
EFFLUX-17,6.8006,0.6348,,0.661,2.1232,0.7977,17
EFFLUX-18,23.4653,0.858,,1.9052,4.5988,1.6368,18
EFFLUX-19,355.6612,2.8579,,20.6656,44.4,10.5626,19
EFFLUX-20,1650.4784,11.7491,,85.1982,198.7001,50.759,20
EFFLUX-21,1.8617,0.2722,,0.4225,0.9777,0.5249,21
EFFLUX-22,294.0954,2.7317,,22.5674,24.3883,7.5976,22
EFFLUX-23,986,8.2896,,58.5299,74.9732,25.4623,23
EFFLUX-24,1316.7664,14.1593,,78.0205,74.0015,24.8999,24
EFFLUX-25,9.8295,0.5649,,0.8331,1.2201,0.2668,25
EFFLUX-26,1776.7621,9.2804,1.0215,103.1891,147.5231,49.0554,26
EFFLUX-27,2611.4261,16.9231,0.9833,170.7886,235.7026,73.0117,27
EFFLUX-28,,24.4229,1.0757,240.1017,277.6273,89.7356,28
EFFLUX-29,21.3853,0.5642,,1.1363,2.6018,0.5242,29
EFFLUX-30,493.7774,4.8836,,41.6412,38.958,12.0634,30
EFFLUX-31,224.0281,2.4159,,15.2305,25.8808,5.8039,31
EFFLUX-32,271.434,3.1363,,21.5414,28.9616,8.165,32