Genus,SW,BW,mNa_(uM/min),mNH4_(uM/min),mK_(uM/min),Na,NH4,K
Labinia,100,95.49,204.02,1.49,10.85,6.416092498,0.04685804246,0.3412146045
Labinia,100,53.81,86.81,0.74,5.64,3.868750382,0.03297863475,0.2513506756
Labinia,100,122.04,,1.33,12.02,,0.02613445134,0.2361925602
Labinia,100,37.56,64.89,0.61,4.35,4.143011469,0.0389464786,0.2777330851
Labinia,100,12.03,64.55,0.43,3.33,12.86751148,0.08571696259,0.6638081056
Labinia,100,38.19,54.09,0.56,3.11,3.396497256,0.0351643273,0.1952876034
Labinia,100,97.32,160.59,0.91,8.92,3.957130227,0.02242349154,0.2197994995
Labinia,100,25,10.28,0.1,0.83,0.9860911271,0.009592326139,0.07961630695
Uca,100,2.99,1.43,0.07,0.1,0.28672714,0.01403559427,0.02005084895
Uca,100,1.52,0.88,0.03,0.05,0.3470907485,0.01183263915,0.01972106525
Uca,100,2.38,2.45,0.08,0.13,0.6171533362,0.02015194567,0.03274691171
Uca,100,3.3,2.12,0.08,0.15,0.3851464283,0.01453382748,0.02725092653
Uca,100,1.56,1.55,0.14,0.13,0.5956773043,0.05380311136,0.04996003197
Uca,100,2.02,2.02,0.64,0.25,0.5995203837,0.1899470523,0.07419806729
Uca,100,2.24,2.82,0.21,0.23,0.7547533402,0.05620503597,0.06155789654
Uca,100,1.58,2.5,0.4,0.2,0.948608202,0.1517773123,0.07588865616