Initials,Sex,Purple,Mass
MRS,M,Y,2.7
KL,F,Y,1.777
KL,F,N,1.64
KL,F,Y,0.853
KL,F,Y,2.194
KL,M,N,1.396
SL,M,Y,3.568
SL,F,Y,1.903
SL,M,N,2.582
CA,M,Y,1.663
CA,M,N,2.519
CA,M,Y,2.004
CA,F,N,1.105
CA,M,N,1.646
BC,M,Y,2.353
BC,M,Y,1.955
BC,F,N,1.35
BC,F,N,2.493
AP,M,N,2.15
AP,F,Y,1.48
AP,M,Y,1.98
AF,M,Y,2.4
AF,M,N,2.08
AF,F,N,0.93
AF,F,N,1.37
AF,M,N,1.72
JL,F,N,2.5
JL,F,Y,1.59
JL,M,Y,1.94
JL,M,N,2.55
DA,M,N,3.64
DA,F,Y,1.96
DA,M,Y,2.07
DA,M,Y,2.12
DA,F,Y,1.88
DA,F,N,1.51
CS,M,Y,2.62
CS,F,N,1.36
CS,F,N,1.15
AP,M,Y,2.27
MF,F,N,1.32
MF,F,N,1.17
MF,F,Y,1.36