"","sample","slope","R2","Pvalue","SEslope","Salinity","Species","Year"
"1",1,0.0239999999999999,0.0216867469879516,0.852735791897856,0.1139824547902,1500,"Uca","2016"
"2",2,-0.0110294117647061,0.0352941176470595,0.812132712674453,0.0407740312735643,1500,"Uca","2016"
"3",3,0.00555555555555557,0.00465116279069767,0.931800566052953,0.0574671135154924,1000,"Uca","2016"
"4",4,-0.0382513661202187,0.118072289156626,0.656383514428329,0.0739221270954576,1000,"Uca","2016"
"5",5,0.0440251572327044,0.0447488584474886,0.788460740174575,0.143831404100997,500,"Uca","2016"
"6",6,0.0368098159509198,0.360000000000002,0.399999999999998,0.0347046272974987,500,"Uca","2016"
"7",7,-0.154237288135593,0.46483300589391,0.318213372165521,0.117022821307186,1500,"Nereis","2016"
"8",8,-0.0622222222222223,0.194782608695652,0.558658172506104,0.0894565209238684,1500,"Nereis","2016"
"9",9,0.115094339622642,0.555787901418974,0.254488161449481,0.0727578093760707,1000,"Nereis","2016"
"10",10,-0.239482200647249,0.642723004694833,0.198299928467738,0.126255075748422,1000,"Nereis","2016"
"11",11,-0.566995768688294,0.993752305989423,0.00312874151702856,0.0317896408168818,500,"Nereis","2016"
"12",12,-0.200828157349897,0.550394852295994,0.258113989688447,0.128347691427154,500,"Nereis","2016"
"13",13,0.0408163265306123,0.147058823529412,0.616517505576314,0.0695076994527608,1500,"Uca","2016"
"14",14,0.0409836065573765,0.454545454545451,0.325800137536761,0.0317457651328475,1500,"Uca","2016"
"15",15,-0.0688073394495414,0.454545454545454,0.325800137536759,0.053297935956983,1000,"Uca","2016"
"16",16,-0.158695652173913,0.713546083463515,0.155283430100063,0.0710994759174801,1000,"Uca","2016"
"17",17,-0.151948051948052,0.919033232628399,0.0413377901323122,0.0318909848254771,500,"Uca","2016"
"18",18,-0.129316181448883,0.445678333638753,0.33240855784488,0.101978363940048,500,"Uca","2016"
"19",19,-0.14560606060606,0.124878859443149,0.64661796955257,0.272554953978965,1500,"Nereis","2016"
"20",20,-0.44009324009324,0.988547467441706,0.00574275590182112,0.0334951327677129,1500,"Nereis","2016"
"21",21,0.133130081300813,0.824453519096806,0.092005771440806,0.0434384355145579,1000,"Nereis","2016"
"22",22,-0.285584604212055,0.972653745535881,0.0137679048338161,0.0338602052855886,1000,"Nereis","2016"
"23",23,0.413833992094862,0.965869711748147,0.0172132928513194,0.0550074948841574,500,"Nereis","2016"
"24",24,0.467782128871484,0.968409126601306,0.0159221948436671,0.0597420344402287,500,"Nereis","2016"
"25",25,-0.0837004405286345,0.962666666666669,0.0188442189607866,0.0116552921192269,1500,"Uca","2016"
"26",26,-0.0905172413793105,0.89090909090909,0.0561201925514613,0.0223972087185632,1500,"Uca","2016"
"27",27,0,6.8412113112545e-33,1,0.0848933600045206,1000,"Uca","2016"
"28",28,0.0101010101010095,0.0105263157894726,0.89740216479149,0.069249036367687,1000,"Uca","2016"
"29",29,0.237623762376238,0.840875912408759,0.083007136118956,0.0730931834665021,500,"Uca","2016"
"30",30,-0.0877862595419849,0.196289424860854,0.556954376095583,0.125606737953468,500,"Uca","2016"
"31",31,-0.482352941176471,0.953055902029709,0.0237541795071752,0.0756974491395078,1500,"Nereis","2016"
"32",32,-0.379562043795621,0.47199379363848,0.312981955376367,0.283869771601659,1500,"Nereis","2016"
"33",33,-0.101538461538461,0.459493670886075,0.322140375235348,0.0778710814451922,1000,"Nereis","2016"
"34",34,0.0214285714285712,0.0527687296416929,0.770285547599432,0.0641974702986323,1000,"Nereis","2016"
"35",35,0.307692307692308,0.995372750642674,0.00231630731845999,0.0148344079969205,500,"Nereis","2016"
"36",36,0.411894273127753,0.836278847303599,0.0855171694867098,0.12886874428467,500,"Nereis","2016"
"37",37,0.0329670329670328,0.317647058823529,0.436398138023365,0.0341662236376878,1500,"Uca","2016"
"38",38,0.0647058823529407,0.896296296296296,0.0532707375937427,0.0155632430062622,1500,"Uca","2016"
"39",39,0.010752688172043,0.00392156862745101,0.937377570891485,0.121176641608437,1000,"Uca","2016"
"40",40,0.0884353741496601,0.965714285714286,0.0172923701760092,0.0117826585548904,1000,"Uca","2016"
"41",41,-0.00243902439024382,0.00219780219780196,0.953119276906153,0.036747607739804,500,"Uca","2016"
"42",42,-0.0348258706467658,0.0852173913043462,0.708079820320098,0.0806829589066013,500,"Uca","2016"
"43",43,-0.313725490196078,0.875675675675675,0.0642245591619348,0.0835874775305049,1500,"Nereis","2016"
"44",44,-0.481152993348115,0.975028470856196,0.0125647004202268,0.0544480228727655,1500,"Nereis","2016"
"45",45,0.0866873065015483,0.476595744680852,0.309640858189846,0.0642368232855927,1000,"Nereis","2016"
"46",46,0.107078039927405,0.510785033015407,0.285307735444543,0.0740996575774722,1000,"Nereis","2016"
"47",47,0.37037037037037,0.886426592797785,0.0584976936842985,0.0937428552375763,500,"Nereis","2016"
"48",48,0.224913494809688,0.965714285714285,0.0172923701760094,0.0299662769475585,500,"Nereis","2016"
"49",49,0.0390243902439025,0.308847184986597,0.444259786423011,0.0412796821944262,1500,"Uca","2016"
"50",50,0.049305555555556,0.279202436998066,0.471603901416687,0.056018040248953,1500,"Uca","2016"
"51",51,-0.0932624113475175,0.50365165471293,0.290315806352621,0.0654666018819803,1000,"Uca","2016"
"52",52,-0.0544715447154469,0.260760964275338,0.489352406962162,0.064852369757602,1000,"Uca","2016"
"53",53,-0.0195262483994875,0.0238992902790703,0.845406047081167,0.0882386030906922,500,"Uca","2016"
"54",54,0.0359179019384264,0.0763636363636361,0.723660288116898,0.0883289714960687,500,"Uca","2016"
"55",55,-0.864457831325301,0.979475593079255,0.0103154072739864,0.0884845230214965,1500,"Nereis","2016"
"56",56,-0.547202797202797,0.990764768583223,0.00462832641107203,0.0373569941835009,1500,"Nereis","2016"
"57",57,-0.585365853658536,0.623280829811756,0.21051863238468,0.321795052587536,1000,"Nereis","2016"
"58",58,-0.147826086956522,0.748316934230967,0.134946860458291,0.0606206088971599,1000,"Nereis","2016"
"59",59,0.251421188630491,0.942830396311253,0.0290054602052323,0.0437776737595985,500,"Nereis","2016"
"60",60,0.0205784204671855,0.00411785053616269,0.935829519744958,0.226290188003753,500,"Nereis","2016"
"61",61,-0.0813559322033899,0.96,0.0202041028867288,0.01174271733945,1500,"Uca","2016"
"62",62,0.014218009478673,0.0181818181818182,0.865160027507352,0.0738789443986724,1500,"Uca","2016"
"63",63,-0.0476190476190474,0.336842105263156,0.419618999911992,0.0472455591261534,1000,"Uca","2016"
"64",64,0.00555555555555557,0.0181818181818182,0.865160027507352,0.0288675134594814,1000,"Uca","2016"
"65",65,0.0132013201320134,0.00655737704918057,0.919022366982107,0.114896997924285,500,"Uca","2016"
"66",66,-0.00645161290322604,0.00392156862745126,0.937377570891483,0.0727059849650623,500,"Uca","2016"
"67",67,-0.489887640449438,0.824496877168633,0.0919818960127321,0.159819365273659,1500,"Nereis","2016"
"68",68,-0.897183098591549,0.987717098937478,0.00616042595523601,0.0707457372105598,1500,"Nereis","2016"
"69",69,-0.207667731629393,0.965714285714286,0.0172923701760089,0.0276685432518987,1000,"Nereis","2016"
"70",70,-0.16267942583732,0.968715083798882,0.0157667533562573,0.0206722191336774,1000,"Nereis","2016"
"71",71,-0.0276923076923076,0.0427440633245378,0.793253625607272,0.0926659713623115,500,"Nereis","2016"
"72",72,-0.163636363636364,0.956065573770492,0.0222139427407999,0.0248040993087044,500,"Nereis","2016"
"73",73,1.71837708830549,0.875626372388942,0.229449937018984,0.647624406966884,500,"Nereis","2018"
"74",74,0.00986842105263122,0.163636363636356,0.595480082522064,0.0157757615898443,1000,"Nereis","2018"
"75",75,-1.3811320754717,0.837800988179373,0.0846853064768525,0.429708437667489,1500,"Nereis","2018"
"76",76,0.0633484162895923,0.699999999999994,0.163339973465928,0.0293246185448321,500,"Uca","2018"
"77",77,0.0949367088607593,0.642857142857144,0.198216274262726,0.0500360389267146,1000,"Uca","2018"
"78",78,-0.0150375939849624,0.0105263157894737,0.897402164791485,0.103092550381971,1500,"Uca","2018"
"79",79,0.816023738872404,0.991153342070773,0.0599669789386258,0.0770942495950542,500,"Nereis","2018"
"80",80,-0.0164609053497942,0.0307692307692307,0.824588396138595,0.0653271928657924,1000,"Nereis","2018"
"81",81,-0.920289855072463,0.907653348339899,0.0472915722321448,0.207567907063805,1500,"Nereis","2018"
"82",82,-0.0977443609022558,0.504477611940298,0.289734125879401,0.06849950059507,500,"Uca","2018"
"83",83,-4.26995874358531e-16,4.96891454594414e-30,0.999999999999998,0.133883927657257,1000,"Uca","2018"
"84",84,-0.0792682926829266,0.229931972789115,0.520487776183845,0.102576852690614,1500,"Uca","2018"
"85",85,-1.56587030716724,0.36194114232421,0.398384556112287,1.47011796818573,500,"Nereis","2018"
"86",86,-1.2956,0.630127066050862,0.206194566628029,0.701888538159728,1000,"Nereis","2018"
"87",87,3.83804143126177,0.848047002966497,0.0791053247159601,1.14878652844464,1500,"Nereis","2018"
"88",88,-0.263333333333334,0.43904326415758,0.33739660115754,0.210475651798492,500,"Uca","2018"
"89",89,-0.184965034965035,0.507054783971589,0.28792220651702,0.128957476744671,1000,"Uca","2018"
"90",90,-0.177142857142857,0.805559832349669,0.102470149605224,0.061539326556571,1500,"Uca","2018"
"91",91,0.876662636033857,0.984992816540695,0.0781847410659668,0.108209542592979,500,"Nereis","2018"
"92",92,0.000723850886717367,0.000213219616204718,0.985397958491885,0.0350488868437979,1000,"Nereis","2018"
"93",93,-1.05570152390962,0.875920799771692,0.0640935945450034,0.280959178074234,1500,"Nereis","2018"
"94",94,0.126634549208534,0.422777222777224,0.349786786678997,0.104629259127212,500,"Uca","2018"
"95",95,-0.0934974990380915,0.205477163984341,0.546704109896923,0.130003907760085,1000,"Uca","2018"
"96",96,-0.0668369518944236,0.486605468364432,0.302428879350333,0.048544358289186,1500,"Uca","2018"
"97",97,-1.06207324643079,0.77150168332422,0.121648314554916,0.408707431760077,500,"Nereis","2018"
"98",98,-0.259129472519365,0.526258612576994,0.274563157416861,0.173849268941398,1000,"Nereis","2018"
"99",99,7.83343391671696,1,NA,NA,1500,"Nereis","2018"
"100",100,0.0171919770773639,0.00284360189573461,0.946674566145838,0.227644974968954,500,"Uca","2018"
"101",101,0.34040590405904,0.730418689483141,0.145354641103609,0.14623153461154,1000,"Uca","2018"
"102",102,0.294416243654822,0.828203111643017,0.0899433470145844,0.0948169513599252,1500,"Uca","2018"
